Date,District,Block,Panchayat,Mouza,Type,Source,Hamlet,Lab,Code,Arsenic,TDS,Salinity,Fluoride,Iron,TC,FC,PH,Hardness 
23/6/2010,Murshidabad ,RAGHUNATHGANJ-II,MITIPUR,Mithipur,PUBLIC,TW,Mithipur,West Bengal Voluntary Health Association (WBVHA),Chadudas,0.0084,,,,0.71,7,0,7.68,300 
23/6/2010,Murshidabad ,RAGHUNATHGANJ-II,MITIPUR,Mithipur,PUBLIC,TW,Mithipur,West Bengal Voluntary Health Association (WBVHA),Budhuhalder,0.0612,,,,0.92,4,0,7.72,295 
23/6/2010,Murshidabad ,RAGHUNATHGANJ-II,MITIPUR,Rameshwarpur,PUBLIC,TW,Rameshwarpur,West Bengal Voluntary Health Association (WBVHA),Hannansk,0.0402,,,,5.11,4,0,7.69,390 
22/6/2010,Murshidabad ,LALGOLA,NASHIPUR,Janardanpur ,PUBLIC,TW,Dihipara,West Bengal Voluntary Health Association (WBVHA),Moyedali,0.1462,,,,3.1,23,0,7.72,365 
22/6/2010,Murshidabad ,RAGHUNATHGANJ-II,MITIPUR,Rameshwarpur,PUBLIC,TW,Rameshwarpur,West Bengal Voluntary Health Association (WBVHA),Jalalsk,0.0414,,,,3.85,0,0,7.82,360 
22/6/2010,Murshidabad ,RAGHUNATHGANJ-II,MITIPUR,Rameshwarpur,PUBLIC,TW,Rameshwarpur,West Bengal Voluntary Health Association (WBVHA),Kasimsk,0.0612,,,,3.79,8,0,7.57,380 
22/6/2010,Murshidabad ,RAGHUNATHGANJ-II,MITIPUR,Rameshwarpur,PUBLIC,TW,Rameshwarpur,West Bengal Voluntary Health Association (WBVHA),Kabarstan,0.0512,,,,4.27,11,0,7.81,300 
22/6/2010,Murshidabad ,RAGHUNATHGANJ-II,MITIPUR,Rameshwarpur,PUBLIC,TW,Rameshwarpur,West Bengal Voluntary Health Association (WBVHA),Habibursk,0.0812,,,,4.22,23,0,7.76,390 
22/6/2010,Murshidabad ,RAGHUNATHGANJ-II,MITIPUR,Rameshwarpur,PUBLIC,TW,Rameshwarpur,West Bengal Voluntary Health Association (WBVHA),Jummamasjid,0.0152,,,,3.75,4,0,7.65,345 
22/6/2010,Murshidabad ,LALGOLA,NASHIPUR,Janardanpur ,PUBLIC,TW,Dihipara,West Bengal Voluntary Health Association (WBVHA),Mojammel,0.0462,,,,2.78,8,0,7.81,370 
22/6/2010,Murshidabad ,LALGOLA,NASHIPUR,Janardanpur ,PUBLIC,TW,Dihipara,West Bengal Voluntary Health Association (WBVHA),Morjem,0.0421,,,,4.12,11,0,7.79,300 
22/6/2010,Murshidabad ,LALGOLA,NASHIPUR,Janardanpur ,PUBLIC,TW,Dihipara,West Bengal Voluntary Health Association (WBVHA),Abdulrased,0.0414,,,,2.56,8,0,7.79,300 
22/6/2010,Murshidabad ,SAGARDIGHI,BALIA,Dattar Ramnagar ,PUBLIC,TW,Uladanga,PHED,114,0.0097,,,,0.92,0,0,7.26,300 
22/6/2010,Murshidabad ,SAGARDIGHI,BALIA,Dattar Ramnagar ,PUBLIC,TW,Uladanga,PHED,115,0.0274,,,,2.99,9,0,7.36,320 
22/6/2010,Murshidabad ,SAGARDIGHI,BALIA,Dattar Ramnagar ,PUBLIC,TW,Uladanga,PHED,116,0.009,,,,0.13,2,0,7.39,280 
22/6/2010,Murshidabad ,SAGARDIGHI,BALIA,Dattar Ramnagar ,PUBLIC,TW,Uladanga,PHED,118,0.0144,,,,0.45,0,0,7.37,360 
22/6/2010,Murshidabad ,SAGARDIGHI,BALIA,Dattar Ramnagar ,PUBLIC,TW,Uladanga,PHED,119,0.0065,,,,0.75,0,0,7.39,300 
